TARGET_X,TARGET_Y,CHECKSUM
1.50,0.80,0x9C
3.00,1.60,0xE3
4.50,2.40,0x9B
6.00,3.20,0x9C
7.50,4.00,0x61
9.00,4.80,0x9A
10.50,5.60,0x8C
12.00,6.40,0x9E
13.50,7.20,0xA0
15.00,8.00,0x60
16.50,8.80,0x9B
19.50,10.40,0xA5
21.00,11.20,0x8C
22.50,12.00,0xE7
24.00,12.80,0x9E
27.00,14.40,0xA0
30.00,16.00,0x60
31.50,16.80,0x6A
33.00,17.60,0x9B
34.50,18.40,0x8B
36.00,19.20,0x9B
39.00,20.80,0xAB
40.50,21.60,0x9B
42.00,22.40,0x8B
45.00,24.00,0x9B
46.50,24.80,0xEB
48.00,25.60,0x9B
49.50,26.40,0x9B
51.00,27.20,0x8B
52.50,28.00,0x9B
54.00,28.80,0xAB
57.00,30.40,0x9B
61.50,32.80,0x67
63.00,33.60,0x6E
64.50,34.40,0x96
66.00,35.20,0x9C
69.00,36.80,0x94
70.50,37.60,0x8E
72.00,38.40,0x94
73.50,39.20,0x9A
75.00,40.00,0x9C
76.50,40.80,0xB6
78.00,41.60,0xAC
79.50,42.40,0xAA
82.50,44.00,0x9E
85.50,45.60,0x8A
88.50,47.20,0x96
90.00,48.00,0x9C
93.00,49.60,0xD4
94.50,50.40,0xEE
96.00,51.20,0x94
97.50,52.00,0x9A
100.50,53.60,0xB6
102.00,54.40,0x8C
103.50,55.20,0x8A
105.00,56.00,0x94
108.00,57.60,0x94
109.50,58.40,0xAA
111.00,59.20,0xAC
112.50,60.00,0x96
114.00,60.80,0x9C
115.50,61.60,0xBA
117.00,62.40,0x94
118.50,63.20,0x8E
120.00,64.00,0x94
121.50,64.80,0x6E
123.00,65.60,0x79
126.00,67.20,0x6F
127.50,68.00,0x6A
129.00,68.80,0x97
130.50,69.60,0x1A
132.00,70.40,0x9E
135.00,72.00,0x99
136.50,72.80,0x8
141.00,75.20,0x8B
142.50,76.00,0x6
144.00,76.80,0x9A
145.50,77.60,0x1D
147.00,78.40,0x9D
148.50,79.20,0x14
150.00,80.00,0xA4
